,Year,State,State.Minimum.Wage,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Department.Of.Labor.Uncleaned.Data,Department.Of.Labor.Cleaned.Low.Value,Department.Of.Labor.Cleaned.Low.Value.2020.Dollars,Department.Of.Labor.Cleaned.High.Value,Department.Of.Labor.Cleaned.High.Value.2020.Dollars,Footnote,unemployment_rate
2714,2018,Illinois,8.25,8.5,7.25,7.47,8.25,8.5,251.107,8.25[c],8.25,8.5,8.25,8.5,[c],4.3
2715,2018,Indiana,7.25,7.47,7.25,7.47,7.25,7.47,251.107,7.25(e),7.25,7.47,7.25,7.47,(e),3.4
2716,2018,Iowa,7.25,7.47,7.25,7.47,7.25,7.47,251.107,7.25,7.25,7.47,7.25,7.47,,2.5
2717,2018,Kansas,7.25,7.47,7.25,7.47,7.25,7.47,251.107,7.25,7.25,7.47,7.25,7.47,,3.4
2718,2018,Kentucky,7.25,7.47,7.25,7.47,7.25,7.47,251.107,7.25,7.25,7.47,7.25,7.47,,4.3
2719,2018,Louisiana,0.0,0.0,7.25,7.47,7.25,7.47,251.107,...,0.0,0.0,0.0,0.0,,4.9
2720,2018,Maine,10.0,10.3,7.25,7.47,10.0,10.3,251.107,10,10.0,10.3,10.0,10.3,,3.4
2721,2018,Maryland,10.1,10.4,7.25,7.47,10.1,10.4,251.107,10.1,10.1,10.4,10.1,10.4,,3.9
2722,2018,Massachusetts,11.0,11.33,7.25,7.47,11.0,11.33,251.107,11,11.0,11.33,11.0,11.33,,3.3
2723,2018,Michigan,9.25,9.53,7.25,7.47,9.25,9.53,251.107,9.25(e),9.25,9.53,9.25,9.53,(e),4.1
2724,2018,Minnesota,8.04,8.28,7.25,7.47,8.04,8.28,251.107,8.04-9.86(g),8.04,8.28,9.86,10.16,(g),2.9
2725,2018,Mississippi,0.0,0.0,7.25,7.47,7.25,7.47,251.107,...,0.0,0.0,0.0,0.0,,4.8
2726,2018,Missouri,7.85,8.09,7.25,7.47,7.85,8.09,251.107,7.85,7.85,8.09,7.85,8.09,,3.2
2727,2018,Montana,8.3,8.55,7.25,7.47,8.3,8.55,251.107,8.30(g),8.3,8.55,8.3,8.55,(g),3.7
2728,2018,Nebraska,9.0,9.27,7.25,7.47,9.0,9.27,251.107,9.00[c],9.0,9.27,9.0,9.27,[c],2.8
2729,2018,Nevada,7.25,7.47,7.25,7.47,7.25,7.47,251.107,7.25-8.25,7.25,7.47,8.25,8.5,,4.6
2730,2018,New Hampshire,7.25,7.47,7.25,7.47,7.25,7.47,251.107,7.25,7.25,7.47,7.25,7.47,,2.5
2731,2018,New Jersey,8.6,8.86,7.25,7.47,8.6,8.86,251.107,8.6,8.6,8.86,8.6,8.86,,4.1
2732,2018,New Mexico,7.5,7.73,7.25,7.47,7.5,7.73,251.107,7.5,7.5,7.73,7.5,7.73,,4.9
2733,2018,New York,10.4,10.71,7.25,7.47,10.4,10.71,251.107,10.4,10.4,10.71,10.4,10.71,,4.1
2734,2018,North Carolina,7.25,7.47,7.25,7.47,7.25,7.47,251.107,7.25,7.25,7.47,7.25,7.47,,3.9
2735,2018,North Dakota,7.25,7.47,7.25,7.47,7.25,7.47,251.107,7.25,7.25,7.47,7.25,7.47,,2.6
2736,2018,Ohio,8.3,8.55,7.25,7.47,8.3,8.55,251.107,8.3,8.3,8.55,8.3,8.55,,4.6
2737,2018,Oklahoma,2.0,2.06,7.25,7.47,7.25,7.47,251.107,2.00-7.25(g),2.0,2.06,7.25,7.47,(g),3.4
2738,2018,Oregon,10.75,11.07,7.25,7.47,10.75,11.07,251.107,10.75,10.75,11.07,10.75,11.07,,4.2
2739,2018,Pennsylvania,7.25,7.47,7.25,7.47,7.25,7.47,251.107,7.25,7.25,7.47,7.25,7.47,,4.3
2741,2018,Rhode Island,10.1,10.4,7.25,7.47,10.1,10.4,251.107,10.1,10.1,10.4,10.1,10.4,,4.1
2742,2018,South Carolina,0.0,0.0,7.25,7.47,7.25,7.47,251.107,...,0.0,0.0,0.0,0.0,,3.4
2743,2018,South Dakota,8.85,9.12,7.25,7.47,8.85,9.12,251.107,8.85,8.85,9.12,8.85,9.12,,3.0
2744,2018,Tennessee,0.0,0.0,7.25,7.47,7.25,7.47,251.107,...,0.0,0.0,0.0,0.0,,3.5
2745,2018,Texas,7.25,7.47,7.25,7.47,7.25,7.47,251.107,7.25,7.25,7.47,7.25,7.47,,3.9
2747,2018,Utah,7.25,7.47,7.25,7.47,7.25,7.47,251.107,7.25,7.25,7.47,7.25,7.47,,3.1
2748,2018,Vermont,10.5,10.82,7.25,7.47,10.5,10.82,251.107,10.50(e),10.5,10.82,10.5,10.82,(e),2.7
2749,2018,Virginia,7.25,7.47,7.25,7.47,7.25,7.47,251.107,7.25[c],7.25,7.47,7.25,7.47,[c],3.0
2750,2018,Washington,11.5,11.85,7.25,7.47,11.5,11.85,251.107,11.5,11.5,11.85,11.5,11.85,,4.5
2751,2018,West Virginia,8.75,9.01,7.25,7.47,8.75,9.01,251.107,8.75,8.75,9.01,8.75,9.01,,5.3
2752,2018,Wisconsin,7.25,7.47,7.25,7.47,7.25,7.47,251.107,7.25,7.25,7.47,7.25,7.47,,3.0
2753,2018,Wyoming,5.15,5.3,7.25,7.47,7.25,7.47,251.107,5.15,5.15,5.3,5.15,5.3,,4.1
2808,2020,Alabama,0.0,0.0,7.25,7.25,7.25,7.25,258.66,...,0.0,0.0,0.0,0.0,,4.9
2809,2020,Alaska,10.19,10.19,7.25,7.25,10.19,10.19,258.66,10.19,10.19,10.19,10.19,10.19,,3.1
2810,2020,Arizona,12.0,12.0,7.25,7.25,12.0,12.0,258.66,12,12.0,12.0,12.0,12.0,,4.9
2811,2020,Arkansas,10.0,10.0,7.25,7.25,10.0,10.0,258.66,10,10.0,10.0,10.0,10.0,,3.8
2812,2020,California,13.0,13.0,7.25,7.25,13.0,13.0,258.66,13,13.0,13.0,13.0,13.0,,2.9
2813,2020,Colorado,12.0,12.0,7.25,7.25,12.0,12.0,258.66,12,12.0,12.0,12.0,12.0,,5.3
2814,2020,Connecticut,11.0,11.0,7.25,7.25,11.0,11.0,258.66,11,11.0,11.0,11.0,11.0,,5.1
2815,2020,Delaware,9.25,9.25,7.25,7.25,9.25,9.25,258.66,9.25,9.25,9.25,9.25,9.25,,6.0
2816,2020,District of Columbia,14.0,14.0,7.25,7.25,14.0,14.0,258.66,14,14.0,14.0,14.0,14.0,,2.7
2817,2020,Florida,8.56,8.56,7.25,7.25,8.56,8.56,258.66,8.56,8.56,8.56,8.56,8.56,,2.6
2818,2020,Georgia,5.15,5.15,7.25,7.25,7.25,7.25,258.66,5.15(d),5.15,5.15,5.15,5.15,(d),2.5
2820,2020,Hawaii,10.1,10.1,7.25,7.25,10.1,10.1,258.66,10.1,10.1,10.1,10.1,10.1,,3.9
2821,2020,Idaho,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25,,2.7
2822,2020,Illinois,9.25,9.25,7.25,7.25,9.25,9.25,258.66,9.25[c],9.25,9.25,9.25,9.25,[c],3.2
2823,2020,Indiana,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25(e),7.25,7.25,7.25,7.25,(e),3.7
2824,2020,Iowa,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25,,3.3
2825,2020,Kansas,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25,,5.3
2826,2020,Kentucky,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25,,3.2
2827,2020,Louisiana,0.0,0.0,7.25,7.25,7.25,7.25,258.66,...,0.0,0.0,0.0,0.0,,3.5
2828,2020,Maine,12.0,12.0,7.25,7.25,12.0,12.0,258.66,12,12.0,12.0,12.0,12.0,,2.9
2829,2020,Maryland,11.0,11.0,7.25,7.25,11.0,11.0,258.66,11,11.0,11.0,11.0,11.0,,4.2
2830,2020,Massachusetts,12.75,12.75,7.25,7.25,12.75,12.75,258.66,12.75,12.75,12.75,12.75,12.75,,3.6
2831,2020,Michigan,9.65,9.65,7.25,7.25,9.65,9.65,258.66,9.65(e),9.65,9.65,9.65,9.65,(e),3.2
2832,2020,Minnesota,8.15,8.15,7.25,7.25,8.15,8.15,258.66,8.15-10.00(g),8.15,8.15,10.0,10.0,(g),4.0
2833,2020,Mississippi,0.0,0.0,7.25,7.25,7.25,7.25,258.66,...,0.0,0.0,0.0,0.0,,2.6
2834,2020,Missouri,9.45,9.45,7.25,7.25,9.45,9.45,258.66,9.45,9.45,9.45,9.45,9.45,,3.9
2835,2020,Montana,8.65,8.65,7.25,7.25,8.65,8.65,258.66,8.65(g),8.65,8.65,8.65,8.65,(g),3.7
2836,2020,Nebraska,9.0,9.0,7.25,7.25,9.0,9.0,258.66,9.00[c],9.0,9.0,9.0,9.0,[c],5.1
2837,2020,Nevada,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25-8.25,7.25,7.25,8.25,8.25,,5.0
2838,2020,New Hampshire,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25,,4.7
2839,2020,New Jersey,11.0,11.0,7.25,7.25,11.0,11.0,258.66,11,11.0,11.0,11.0,11.0,,4.8
2840,2020,New Mexico,9.0,9.0,7.25,7.25,9.0,9.0,258.66,9,9.0,9.0,9.0,9.0,,3.1
2841,2020,New York,11.8,11.8,7.25,7.25,11.8,11.8,258.66,11.8,11.8,11.8,11.8,11.8,,6.4
2842,2020,North Carolina,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25,,5.3
2843,2020,North Dakota,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25,,4.9
2844,2020,Ohio,8.7,8.7,7.25,7.25,8.7,8.7,258.66,8.7,8.7,8.7,8.7,8.7,,2.3
2845,2020,Oklahoma,2.0,2.0,7.25,7.25,7.25,7.25,258.66,2.00-7.25(g),2.0,2.0,7.25,7.25,(g),3.0
2846,2020,Oregon,11.25,11.25,7.25,7.25,11.25,11.25,258.66,11.25,11.25,11.25,11.25,11.25,,5.1
2847,2020,Pennsylvania,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25,,3.6
2849,2020,Rhode Island,10.5,10.5,7.25,7.25,10.5,10.5,258.66,10.5,10.5,10.5,10.5,10.5,,2.6
2850,2020,South Carolina,0.0,0.0,7.25,7.25,7.25,7.25,258.66,...,0.0,0.0,0.0,0.0,,5.2
2851,2020,South Dakota,9.3,9.3,7.25,7.25,9.3,9.3,258.66,9.3,9.3,9.3,9.3,9.3,,3.5
2852,2020,Tennessee,0.0,0.0,7.25,7.25,7.25,7.25,258.66,...,0.0,0.0,0.0,0.0,,5.4
2853,2020,Texas,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25,,4.0
2855,2020,Utah,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25,,3.7
2856,2020,Vermont,10.96,10.96,7.25,7.25,10.96,10.96,258.66,10.96(e),10.96,10.96,10.96,10.96,(e),4.5
2857,2020,Virginia,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25[c],7.25,7.25,7.25,7.25,[c],3.8
2858,2020,Washington,13.5,13.5,7.25,7.25,13.5,13.5,258.66,13.5,13.5,13.5,13.5,13.5,,2.7
2859,2020,West Virginia,8.75,8.75,7.25,7.25,8.75,8.75,258.66,8.75,8.75,8.75,8.75,8.75,,3.8
2860,2020,Wisconsin,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25,,3.9
2861,2020,Wyoming,5.15,5.15,7.25,7.25,7.25,7.25,258.66,5.15,5.15,5.15,5.15,5.15,,2.1
